epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,12683.9,0.30098,0.00277,0.00033,0.17199,0.81665,0.98468,0.96145,0.98301,0.93424,0.9953,0.97544,0.99196,0.99171,0.36331,0.02607,0.00035,0.25953,0.73526,0.00133695,0.00133695,0.00133695
79,12846.2,0.30421,0.0026,8e-05,0.17063,0.8175,0.98436,0.96148,0.98298,0.93433,0.99545,0.97575,0.992,0.99167,0.36305,0.02634,0.00037,0.25867,0.73539,0.00123596,0.00123596,0.00123596
80,13006.6,0.2915,0.00227,8e-05,0.1661,0.81842,0.98433,0.96169,0.98293,0.93417,0.99547,0.97575,0.992,0.99165,0.36325,0.02636,0.00039,0.25865,0.73567,0.00113873,0.00113873,0.00113873
81,13167.9,0.29681,0.00255,9e-05,0.16788,0.81549,0.98365,0.96257,0.9829,0.93411,0.99374,0.97696,0.99203,0.99159,0.36373,0.02644,0.0004,0.25842,0.73603,0.00104537,0.00104537,0.00104537
82,13328.8,0.29947,0.00243,0.00058,0.16387,0.81655,0.98413,0.96225,0.98288,0.93423,0.99359,0.977,0.99206,0.99167,0.3641,0.02623,0.00041,0.25816,0.73641,0.000955951,0.000955951,0.000955951
83,13489.4,0.29607,0.00261,0.00033,0.1658,0.8136,0.98182,0.96435,0.98288,0.93449,0.99389,0.97648,0.99208,0.9917,0.3643,0.01062,0.00037,0.25728,0.73678,0.000870577,0.000870577,0.000870577
84,13651.2,0.29094,0.00233,7e-05,0.16195,0.81384,0.98274,0.96411,0.98287,0.93452,0.99397,0.97696,0.99209,0.99171,0.36439,0.01064,0.00039,0.2562,0.73689,0.000789327,0.000789327,0.000789327
85,13812.3,0.28564,0.00239,9e-05,0.15817,0.81288,0.98382,0.96363,0.98286,0.9345,0.99428,0.97696,0.99206,0.9917,0.36453,0.01093,0.00041,0.25567,0.73729,0.000712282,0.000712282,0.000712282
86,13972,0.2829,0.00246,0.00051,0.15582,0.81057,0.98372,0.96363,0.98288,0.93449,0.99455,0.97696,0.99208,0.99172,0.36261,0.01126,0.00042,0.25068,0.73675,0.000639518,0.000639518,0.000639518
87,14132.3,0.28972,0.00244,0.0002,0.15571,0.8195,0.98391,0.96411,0.98291,0.9342,0.99408,0.97693,0.9921,0.99175,0.36309,0.01133,0.00043,0.25126,0.7374,0.000571106,0.000571106,0.000571106
88,14294.1,0.27618,0.00236,0.00141,0.15262,0.80669,0.98343,0.96411,0.98277,0.9343,0.99457,0.97711,0.99212,0.99179,0.36184,0.01103,0.00043,0.24978,0.73765,0.000507115,0.000507115,0.000507115
89,14455.7,0.27995,0.00235,5e-05,0.15378,0.80891,0.98367,0.96402,0.98259,0.93397,0.99458,0.97696,0.9921,0.99179,0.36222,0.0109,0.00044,0.24992,0.73798,0.000447606,0.000447606,0.000447606
90,14616.6,0.27937,0.00224,0.00078,0.15094,0.81172,0.98415,0.96361,0.98254,0.93397,0.99467,0.97672,0.99211,0.99181,0.35915,0.0105,0.00045,0.24526,0.73719,0.00039264,0.00039264,0.00039264
91,14779.7,0.27828,0.00241,0.00051,0.15004,0.81317,0.98442,0.96363,0.9824,0.93364,0.99423,0.97696,0.99213,0.99183,0.35933,0.01083,0.00047,0.24516,0.73742,0.00034227,0.00034227,0.00034227
92,14941.2,0.276,0.00227,0.00053,0.14995,0.80925,0.98415,0.96378,0.98232,0.93354,0.99433,0.97722,0.99215,0.99184,0.3598,0.01083,0.00048,0.24573,0.73773,0.000296546,0.000296546,0.000296546
93,15102.5,0.2736,0.00233,0.00037,0.14851,0.80929,0.98465,0.96434,0.98233,0.93374,0.99457,0.97679,0.99214,0.99184,0.36003,0.0108,0.00048,0.24602,0.73794,0.000255513,0.000255513,0.000255513
94,15263.9,0.27297,0.0024,0.00072,0.14668,0.8086,0.98453,0.96484,0.98232,0.93341,0.99481,0.9767,0.99215,0.99186,0.36002,0.01091,0.00049,0.24626,0.73798,0.000219212,0.000219212,0.000219212
95,15424.3,0.27113,0.00219,0.00068,0.14487,0.80753,0.98417,0.96452,0.98223,0.93362,0.99482,0.97706,0.99208,0.99186,0.36001,0.01112,0.00049,0.24618,0.73802,0.000187678,0.000187678,0.000187678
96,15585.4,0.27276,0.0021,0.00049,0.14677,0.80416,0.98343,0.96508,0.98224,0.9335,0.99428,0.97793,0.99185,0.99178,0.36006,0.01107,0.00051,0.2465,0.73831,0.000160943,0.000160943,0.000160943
97,15745.5,0.27453,0.00248,8e-05,0.14726,0.80898,0.98419,0.96339,0.98224,0.93374,0.99404,0.97745,0.99175,0.99172,0.35987,0.01121,0.00052,0.24678,0.73839,0.000139032,0.000139032,0.000139032
98,15907.9,0.27315,0.00231,0.00045,0.14705,0.80707,0.9839,0.96342,0.98213,0.93358,0.99504,0.97599,0.99177,0.99172,0.35984,0.01126,0.00053,0.24755,0.73862,0.000121968,0.000121968,0.000121968
99,16070.1,0.27221,0.00244,0.0002,0.14528,0.81065,0.98415,0.96359,0.98202,0.93326,0.99432,0.97668,0.99178,0.99174,0.35987,0.01107,0.00055,0.2482,0.7388,0.000109768,0.000109768,0.000109768
100,16232.2,0.26569,0.00229,0.00019,0.14262,0.80942,0.98415,0.96367,0.98191,0.93298,0.99505,0.97569,0.99179,0.99176,0.36048,0.01103,0.00052,0.24983,0.73943,0.000102443,0.000102443,0.000102443
