epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,7691.62,0.31602,0.00325,0.00033,0.1769,0.81775,0.98325,0.96169,0.9841,0.93332,0.99286,0.97818,0.9906,0.9903,0.36245,0.00794,2e-05,0.23973,0.78251,0.000397019,0.000397019,0.000397019
59,7823.98,0.31359,0.00313,0.00025,0.17498,0.81705,0.98355,0.96217,0.98421,0.93351,0.99359,0.97741,0.9905,0.99029,0.36209,0.00792,1e-05,0.2379,0.7817,0.000381899,0.000381899,0.000381899
60,7957.24,0.31231,0.00328,0.00108,0.1725,0.81765,0.98219,0.96298,0.98417,0.934,0.99408,0.97744,0.99054,0.99034,0.36092,0.00786,1e-05,0.23902,0.78113,0.000366899,0.000366899,0.000366899
61,8086.92,0.30975,0.00316,1e-05,0.17164,0.81595,0.98698,0.95878,0.98423,0.93369,0.99408,0.97785,0.99057,0.99037,0.36127,0.00786,1e-05,0.23876,0.78182,0.000352037,0.000352037,0.000352037
62,8219.44,0.30643,0.00316,0.00017,0.17077,0.81577,0.98532,0.96028,0.9842,0.93348,0.99376,0.97793,0.99059,0.99038,0.36187,0.00789,1e-05,0.23845,0.78255,0.000337325,0.000337325,0.000337325
63,8351.53,0.30886,0.00306,1e-05,0.17033,0.81389,0.98364,0.9625,0.98419,0.93394,0.99389,0.97745,0.99063,0.99041,0.36148,0.00788,1e-05,0.23862,0.78273,0.000322778,0.000322778,0.000322778
64,8483.64,0.30506,0.00309,0.00102,0.16834,0.81262,0.98347,0.96266,0.98419,0.93393,0.99425,0.97745,0.99066,0.99046,0.36225,0.00787,1e-05,0.23808,0.78396,0.000308412,0.000308412,0.000308412
65,8615.74,0.30372,0.00306,0.0003,0.16766,0.81318,0.98389,0.96274,0.98422,0.93383,0.99429,0.97745,0.99068,0.99048,0.36207,0.00783,1e-05,0.23781,0.78426,0.000294239,0.000294239,0.000294239
66,8747,0.29814,0.00308,1e-05,0.16516,0.81145,0.98414,0.96269,0.98415,0.93397,0.99408,0.97746,0.99071,0.9905,0.36173,0.0078,1e-05,0.23701,0.78378,0.000280275,0.000280275,0.000280275
67,8879.12,0.29806,0.00297,0.00098,0.16387,0.81218,0.98413,0.96247,0.98443,0.9346,0.99384,0.97783,0.99074,0.99053,0.36207,0.00781,1e-05,0.23608,0.78404,0.000266532,0.000266532,0.000266532
68,9009.86,0.29863,0.00306,0.00147,0.1641,0.81085,0.98456,0.96242,0.9844,0.93454,0.99335,0.97773,0.99074,0.99054,0.362,0.00779,1e-05,0.23559,0.78402,0.000253024,0.000253024,0.000253024
69,9141.94,0.29656,0.00288,3e-05,0.16188,0.81191,0.98512,0.96266,0.9844,0.93477,0.99335,0.97747,0.99077,0.99057,0.36219,0.00778,1e-05,0.23533,0.78447,0.000239766,0.000239766,0.000239766
70,9273.62,0.29305,0.00282,2e-05,0.15995,0.80943,0.98536,0.96281,0.9844,0.93501,0.99431,0.97745,0.9908,0.9906,0.3623,0.00774,1e-05,0.23482,0.78478,0.000226769,0.000226769,0.000226769
71,9405.41,0.29179,0.00287,0.00034,0.15839,0.80936,0.98535,0.96252,0.98434,0.93513,0.99447,0.97672,0.99083,0.99064,0.3626,0.00772,1e-05,0.23372,0.78521,0.000214046,0.000214046,0.000214046
72,9537.68,0.29206,0.00277,1e-05,0.15882,0.81181,0.98536,0.96286,0.98444,0.93492,0.9947,0.97696,0.99085,0.99066,0.36257,0.00772,1e-05,0.23348,0.78545,0.000201611,0.000201611,0.000201611
73,9669.98,0.2893,0.0028,0.0011,0.15723,0.80823,0.98343,0.96423,0.98444,0.93524,0.99457,0.9768,0.99088,0.99069,0.36283,0.00771,1e-05,0.23324,0.7861,0.000189475,0.000189475,0.000189475
74,9802.18,0.28488,0.00274,0.00075,0.15509,0.80625,0.98395,0.96435,0.98446,0.93533,0.99506,0.97645,0.99092,0.99072,0.36289,0.00771,1e-05,0.23307,0.78629,0.000177651,0.000177651,0.000177651
75,9934.61,0.28607,0.00278,2e-05,0.154,0.80614,0.98357,0.96435,0.98445,0.93543,0.99457,0.97682,0.99094,0.99074,0.36328,0.0077,1e-05,0.2329,0.78708,0.000166149,0.000166149,0.000166149
76,10066.8,0.28244,0.00281,1e-05,0.15254,0.80677,0.98319,0.96465,0.98443,0.93544,0.99457,0.97705,0.99096,0.99076,0.36333,0.00768,1e-05,0.23257,0.78747,0.000154982,0.000154982,0.000154982
77,10199.1,0.28247,0.00273,0.00018,0.15183,0.80418,0.98305,0.96484,0.98443,0.93556,0.99311,0.97806,0.99099,0.99079,0.36342,0.00767,1e-05,0.23297,0.78758,0.000144161,0.000144161,0.000144161
78,10331.7,0.28179,0.00281,1e-05,0.15199,0.80633,0.9825,0.96508,0.98445,0.93609,0.99235,0.97842,0.99102,0.99082,0.36427,0.00766,1e-05,0.23242,0.78866,0.000133695,0.000133695,0.000133695
79,10463.6,0.28016,0.00278,0.00046,0.15117,0.80644,0.98263,0.96508,0.9845,0.93648,0.99207,0.97818,0.99092,0.99074,0.36373,0.00776,1e-05,0.23215,0.78834,0.000123596,0.000123596,0.000123596
80,10595.1,0.27678,0.0027,9e-05,0.1491,0.80404,0.98344,0.96501,0.98455,0.93653,0.99268,0.97818,0.99095,0.99077,0.36375,0.00772,1e-05,0.23194,0.78849,0.000113873,0.000113873,0.000113873
81,10727.4,0.27878,0.00274,1e-05,0.14935,0.80628,0.9832,0.9649,0.98455,0.93675,0.99305,0.97818,0.99095,0.99077,0.36414,0.00777,1e-05,0.23207,0.78913,0.000104537,0.000104537,0.000104537
82,10858.5,0.2771,0.00264,1e-05,0.14774,0.80392,0.98289,0.96508,0.98461,0.93687,0.99289,0.97818,0.99098,0.9908,0.36504,0.00778,1e-05,0.23118,0.79021,9.55951e-05,9.55951e-05,9.55951e-05
83,10988.4,0.27547,0.00259,1e-05,0.14698,0.80312,0.98585,0.96289,0.98467,0.93681,0.99291,0.97793,0.991,0.99081,0.36514,0.00771,1e-05,0.23086,0.79081,8.70577e-05,8.70577e-05,8.70577e-05
84,11120.6,0.27226,0.00267,1e-05,0.14637,0.80328,0.98284,0.96605,0.9847,0.93689,0.99335,0.97803,0.99102,0.99083,0.36523,0.00766,1e-05,0.23109,0.79099,7.89327e-05,7.89327e-05,7.89327e-05
85,11252.7,0.27278,0.00252,1e-05,0.14484,0.80375,0.98504,0.96411,0.98475,0.93693,0.99315,0.97769,0.99104,0.99085,0.36502,0.00765,1e-05,0.23115,0.79103,7.12282e-05,7.12282e-05,7.12282e-05
86,11382.8,0.2727,0.00263,1e-05,0.14555,0.803,0.9844,0.96435,0.98475,0.9372,0.99286,0.97788,0.99106,0.99086,0.36484,0.00749,1e-05,0.23096,0.79116,6.39518e-05,6.39518e-05,6.39518e-05
87,11515.2,0.27177,0.00257,1e-05,0.14455,0.8021,0.98224,0.96629,0.98478,0.93749,0.99286,0.978,0.99108,0.99088,0.36506,0.00764,1e-05,0.23134,0.79151,5.71106e-05,5.71106e-05,5.71106e-05
88,11646.9,0.26947,0.00264,1e-05,0.14405,0.80229,0.98178,0.96703,0.98471,0.93746,0.99263,0.97818,0.9911,0.99091,0.36488,0.00752,1e-05,0.23016,0.79184,5.07115e-05,5.07115e-05,5.07115e-05
89,11778.2,0.26906,0.00251,1e-05,0.1434,0.80095,0.98178,0.96707,0.98462,0.93744,0.99269,0.97818,0.99112,0.99094,0.36597,0.00751,1e-05,0.22938,0.79351,4.47606e-05,4.47606e-05,4.47606e-05
90,11909,0.27222,0.00252,0.00064,0.14428,0.80153,0.98178,0.96679,0.98438,0.93733,0.99287,0.97818,0.99114,0.99095,0.3665,0.00751,1e-05,0.22831,0.79444,3.9264e-05,3.9264e-05,3.9264e-05
